表章項目,時間軸（月次）,市区町村 コード,市区町村,/国籍07,総数,中国,韓国,韓国・朝鮮,フィリピン,ブラジル,ベトナム,ペルー,ネパール,米国,台湾,その他
人数【人】,2016年6月,1100,札幌市,,10980,3777,2272,***,381,80,402,***,226,582,383,2877
人数【人】,2016年6月,1101,中央区,,2345,724,502,***,56,9,118,***,46,203,112,575
人数【人】,2016年6月,1102,北区,,2690,1152,299,***,61,15,59,***,75,91,95,843
人数【人】,2016年6月,1103,東区,,1440,529,250,***,61,14,47,***,27,45,50,417
人数【人】,2016年6月,1104,白石区,,795,212,237,***,47,7,36,***,14,42,13,187
人数【人】,2016年6月,1105,豊平区,,1273,374,399,***,48,7,25,***,10,71,50,289
人数【人】,2016年6月,1106,南区,,546,176,106,***,25,-,3,***,20,56,22,138
人数【人】,2016年6月,1107,西区,,664,191,156,***,37,18,54,***,15,26,19,148
人数【人】,2016年6月,1108,厚別区,,504,254,96,***,20,2,19,***,5,21,9,78
人数【人】,2016年6月,1109,手稲区,,304,114,35,***,14,-,41,***,9,9,7,75
人数【人】,2016年6月,1110,清田区,,419,51,192,***,12,8,-,***,5,18,6,127
人数【人】,2016年6月,1202,函館市,,890,354,142,***,36,2,76,***,36,32,25,187
人数【人】,2016年6月,1203,小樽市,,507,112,79,***,12,1,16,***,7,17,20,243
人数【人】,2016年6月,1204,旭川市,,795,160,191,***,81,5,98,***,66,37,18,139
人数【人】,2016年6月,1205,室蘭市,,350,112,65,***,14,2,22,***,22,6,2,105
人数【人】,2016年6月,1206,釧路市,,562,146,100,***,47,2,166,***,8,15,10,68
人数【人】,2016年6月,1207,帯広市,,571,120,152,***,37,4,35,***,18,23,4,178
人数【人】,2016年6月,1208,北見市,,356,136,57,***,34,2,26,***,5,8,12,76
人数【人】,2016年6月,1209,夕張市,,103,92,3,***,-,-,-,***,-,3,1,4
人数【人】,2016年6月,1210,岩見沢市,,124,32,26,***,12,1,3,***,4,13,2,31
人数【人】,2016年6月,1211,網走市,,205,145,7,***,9,-,11,***,4,11,5,13
人数【人】,2016年6月,1212,留萌市,,108,18,7,***,1,-,69,***,-,1,-,12
人数【人】,2016年6月,1213,苫小牧市,,533,150,120,***,44,1,48,***,18,9,12,131
人数【人】,2016年6月,1214,稚内市,,333,220,34,***,6,-,21,***,10,8,-,34
人数【人】,2016年6月,1215,美唄市,,53,10,21,***,5,-,1,***,4,3,-,9
人数【人】,2016年6月,1216,芦別市,,39,19,2,***,4,-,10,***,-,-,-,4
人数【人】,2016年6月,1217,江別市,,433,174,74,***,5,10,46,***,4,21,5,94
人数【人】,2016年6月,1218,赤平市,,57,22,4,***,19,-,8,***,-,1,-,3
人数【人】,2016年6月,1219,紋別市,,349,184,6,***,4,-,73,***,3,3,3,73
人数【人】,2016年6月,1220,士別市,,69,21,10,***,2,-,25,***,-,9,-,2
人数【人】,2016年6月,1221,名寄市,,125,76,9,***,3,-,-,***,2,20,1,14
人数【人】,2016年6月,1222,三笠市,,19,3,3,***,1,-,3,***,-,5,-,4
人数【人】,2016年6月,1223,根室市,,305,38,6,***,13,-,211,***,-,-,1,36
人数【人】,2016年6月,1224,千歳市,,538,145,137,***,37,2,43,***,11,27,26,110
人数【人】,2016年6月,1225,滝川市,,79,6,15,***,9,-,15,***,9,6,1,18
人数【人】,2016年6月,1226,砂川市,,21,6,-,***,3,-,-,***,-,1,1,10
人数【人】,2016年6月,1227,歌志内市,,4,-,1,***,1,-,-,***,-,1,-,1
人数【人】,2016年6月,1228,深川市,,70,28,8,***,15,-,1,***,-,2,-,16
人数【人】,2016年6月,1229,富良野市,,196,65,24,***,4,-,36,***,12,4,26,25
人数【人】,2016年6月,1230,登別市,,133,54,29,***,6,1,2,***,8,7,5,21
人数【人】,2016年6月,1231,恵庭市,,252,101,47,***,30,2,7,***,12,7,12,34
人数【人】,2016年6月,1233,伊達市,,108,60,7,***,6,-,8,***,7,5,3,12
人数【人】,2016年6月,1234,北広島市,,170,41,19,***,2,1,11,***,6,11,3,76
人数【人】,2016年6月,1235,石狩市,,328,158,23,***,16,2,49,***,3,4,7,66
人数【人】,2016年6月,1236,北斗市,,140,75,13,***,21,-,19,***,-,2,3,7
人数【人】,2016年6月,1303,当別町,,51,8,9,***,7,-,6,***,2,1,-,18
人数【人】,2016年6月,1304,新篠津村,,2,1,1,***,-,-,-,***,-,-,-,-
人数【人】,2016年6月,1331,松前町,,35,6,1,***,1,-,24,***,-,2,-,1
人数【人】,2016年6月,1332,福島町,,34,11,5,***,1,-,12,***,-,1,1,3
人数【人】,2016年6月,1333,知内町,,6,4,-,***,1,-,-,***,-,-,-,1
人数【人】,2016年6月,1334,木古内町,,27,-,3,***,-,-,18,***,-,2,-,4
人数【人】,2016年6月,1337,七飯町,,30,4,11,***,-,-,-,***,-,3,4,8
人数【人】,2016年6月,1343,鹿部町,,56,53,-,***,-,-,1,***,-,1,-,1
人数【人】,2016年6月,1345,森町,,220,175,2,***,1,-,31,***,-,4,-,7
人数【人】,2016年6月,1346,八雲町,,143,59,8,***,1,2,45,***,-,-,3,25
人数【人】,2016年6月,1347,長万部町,,88,85,-,***,-,-,-,***,-,1,-,2
人数【人】,2016年6月,1361,江差町,,14,2,2,***,5,-,2,***,-,1,-,2
人数【人】,2016年6月,1362,上ノ国町,,24,6,2,***,-,-,-,***,-,1,-,15
